,target_sentence,postcontext,substitutions
896,So what do you prepare when asked to cook a birthday dinner for America's most famous culinary personality?,Some of the country's top chefs will answer that question Thursday at the 20 dinners nationwide that will celebrate Julia Child's approaching 90th birthday.,"{'So': ['anyway 1', 'just 1', 'now 1', 'then 2', 'therefore 2', 'well 1'], 'prepare': ['concoct 1', 'cook 2', 'create 1', 'fix 2', 'make 6'], 'asked': ['choose 1', 'employ 1', 'inquire 1', 'invite 1', 'prompt 1', 'proposition 1', 'question 1', 'request 1', 'solicit 1', 'tell 1'], 'cook': ['bake 1', 'concoct 1', 'fix 1', 'make 1', 'prepare 4', 'serve 1'], 'birthday': ['annual 1', 'birth anniversary 1', 'birthday celebration 1', 'celebration 2', 'party 1'], 'dinner': ['celebration 1', 'lunch 1', 'meal 5', 'supper 1'], 'most': ['comparatively more 1', 'furthest 1', 'great 1', 'high 1', 'hugely 1', 'obviously 1', 'top 1'], 'famous': ['celebrated 2', 'famed 1', 'familiar 1', 'known 1', 'notable 1', 'popular 2', 'recognize 1', 'renowned 1', 'well know 1'], 'culinary': ['chef 1', 'cooking 3', 'cuisine 1', 'food 2', 'food artistry 1'], 'personality': ['celebrity 2', 'chef 1', 'figure 2', 'host 1', 'icon 1', 'legend 1', 'notable 1', 'persona 1']}"
897,Here are her personal rules for achieving these goals:,Take small helpings,"{'Here': ['below 1', 'follow 1', 'herein 1', 'these 4'], 'personal': ['individual 2', 'own 4', 'private 2', 'self 1', 'self observe 1', 'special 1'], 'rules': ['guideline 1', 'idea 1', 'instruction 2', 'law 1', 'method 1', 'order 1', 'pointer 1', 'policy 1', 'tenant 1'], 'achieving': ['accomplish 3', 'acquire 1', 'attain 2', 'complete 1', 'gain 1', 'meet 1', 'obtain 1', 'reach 3', 'succeed 1'], 'goals': ['accomplishment 1', 'aim 2', 'end 1', 'ideal 1', 'objective 2', 'result 1', 'success 1', 'target 1']}"
898,Lets wait and try to offset the amount we owe them with what they owe us - so I say wait until you get July and August done.,What do you think the time frame is on this?,"{'wait': ['abide 1', 'delay 2', 'hold 1', 'pause 1', 'procrastinate 1', 'sit 1', 'stall 1', 'stay 1', 'stop 2'], 'try': ['attempt 5', 'endeavor 1', 'hope 1', 'move 1', 'seek 1', 'strive 1', 'test 1'], 'offset': ['adjust 1', 'balance 5', 'cancel 1', 'cancel out 1', 'counter balance 1', 'counteract 1', 'counterbalance 1', 'divert 1', 'equal 1', 'net 1', 'neutralize 1'], 'amount': ['bill 1', 'cost 1', 'debt 2', 'expense 1', 'money 2', 'payment 1', 'quantity 1', 'sum 1', 'total 4'], 'owe': ['be indebted to 2', 'give 1', 'pay 1', 'refund 1', 'repay 1', 'return 1'], 'say': ['advise 1', 'convey 1', 'express 1', 'impart 1', 'order 1', 'recommend 1', 'state 1', 'suggest 1'], 'get': ['have 2']}"
899,"Because each of the hundreds of processing machines is self-enclosed, and essentially airtight, the uniforms operators wear are less constricting than in the previous generation of chip plants, which looked like space suits.","The operators at the East Fishkill factory wear light nylon uniforms, light blue shoe coverings and translucent hair nets made of paper.","{'hundreds': ['dozen 1', 'many 1', 'mass 1', 'several 1'], 'processing': ['manufacturing 3', 'operate 2', 'pre assembly 1', 'pre production 1', 'preparation 1', 'production 1'], 'machines': ['apparatus 1', 'appliance 1', 'contraption 1', 'device 1', 'equipment 2', 'machinery 2', 'system 1', 'unit 2'], 'self': ['enclose 1', 'individually 1'], 'enclosed': ['case 1', 'close 1', 'contain 2', 'encase 3', 'envelop 1', 'seal 1'], 'essentially': ['actually 1', 'basically 5', 'fundamentally 2', 'inherently 1', 'mostly 1', 'principally 1', 'virtually 3'], 'airtight': ['close 1', 'impenetrable 1', 'leak proof 1', 'seal 3', 'unventilated 1', 'vacuum 1'], 'uniforms': ['attire 1', 'clothes 1', 'clothing 3', 'coverall 2', 'outfits 2', 'uniform attire 1', 'work clothing 1'], 'operators': ['assembler 1', 'conductor 1', 'employee 2', 'engineer 2', 'individual 1', 'machinist 1', 'people 1', 'tech 1', 'worker 5'], 'wear': ['attire 1', 'be attire in 1', 'clothing 1', 'don 4', 'dress in 1', 'have 2', 'put on 1', 'sport 1', 'use 1'], 'less': ['lesser 1', 'minimally 1', 'minutely 1', 'not as 4', 'not as much 1', 'not so 1', 'slightly 1', 'sub 1', 'under 1'], 'constricting': ['binding 1', 'heavy 1', 'inflexible 2', 'limit 1', 'oppressive 1', 'restraining 2', 'restrict 1', 'restrictive 1', 'tight 2'], 'previous': ['antecedent 2', 'early 2', 'former 1', 'last 2', 'preceding 1', 'preliminary 1', 'prior 2'], 'generation': ['edition 1', 'evolution 1', 'group 1', 'league 1', 'model 1', 'set 1', 'venue 1', 'version 1'], 'chip': ['computer 1', 'computer chip 2', 'electronic 1', 'electronics 1', 'microchip 1', 'semiconductor 1', 'silicon chip 1', 'technology 1', 'wafer 1'], 'plants': ['establishment 1', 'facility 2', 'factory 6', 'manufacturer 1', 'operation 1', 'producer 1', 'production plant 1', 'site 1', 'workshop 1'], 'looked': ['appear 1', 'manifest 1', 'resemble 1', 'seem 5'], 'space': ['aerospace 1', 'alien 1', 'astronaut 5', 'cosmonaut 1', 'extraterrestrial 1', 'outer space 2', 'space mission 1'], 'suits': ['apparel 1', 'clothes 1', 'coverall 1', 'ensemble 1', 'garb 1', 'outfit 1', 'uniform 3']}"
900,"Of all the 12th games added to the schedule, Florida's might be the most daunting: Miami on Sept. 7 after the Gators open up with Alabama-Birmingham.","""What do you want me to say?"" first-year Florida coach Ron Zook said with a note of exasperation.","{'12th': ['extra 1', 'listed 1', 'number 1'], 'games': ['competition 3', 'contest 2', 'event 1', 'face off 1', 'loss 1', 'match 2'], 'added': ['amend 1', 'augment 1', 'compound to 1', 'give 1', 'include 2', 'put on 1', 'supplement 1', 'tack 1'], 'schedule': ['agenda 2', 'calendar 1', 'event schedule 1', 'list 2', 'program 1', 'time table 1'], 'most': ['chief 1', 'focal 1', 'great 1', 'high 1', 'top 1', 'ultimate 1'], 'daunting': ['challenging 1', 'difficult 3', 'important 1', 'intimidating 3', 'tough 1', 'upset 1'], 'open': ['start 5'], 'up': ['competition 1', 'opening 1', 'out 1', 'with 1']}"
901,A twitch of her fingers summoned her pale servants.,“One of these will lead you out.”,"{'twitch': ['flick 1', 'gesture 2', 'jerk 1', 'movement 2', 'nod 1', 'shake 1', 'snap 1', 'wave 1'], 'fingers': ['digit 3', 'hand 4', 'palm 1', 'thumb 1'], 'summoned': ['bring 1', 'call 5', 'command 1', 'fetch 1', 'order 1', 'usher 1'], 'pale': ['anemic 1', 'ashen 1', 'bloodless 1', 'colorless 2', 'ghastly 1', 'ghostly 1', 'gray 1', 'lifeless 1', 'livid 1', 'pallid 1', 'sickly 1', 'white 3', 'whitish 1'], 'servants': ['butler 1', 'employee 1', 'helper 1', 'manservant 1', 'salve 1', 'slave 3', 'staff 2', 'worker 3']}"
902,My mindsmith is not so understanding.,"She says I am emotionally a child, to which I reply, ""Of course.","{'mindsmith': ['brain 1', 'counterpart 1', 'intellect 1', 'intelligence 1', 'lover 1', 'partner 1', 'psycho mech 1', 'thinker 1', 'thinking 1', 'thought 2', 'wife 1'], 'so': ['as 1', 'completely 1', 'consequently 1', 'hence 1', 'quite 1', 'subsequently 1', 'that 1', 'therefore 1', 'thus 1', 'very 1', 'well 1'], 'understanding': ['accept 3', 'amiable 1', 'apprehend 1', 'comprehensible 1', 'conscious 1', 'distinguish 1', 'fathom 1', 'forgiving 2', 'kind 1', 'lenient 1', 'open mind 1', 'permissive 1', 'relatable 1', 'sympathetic 1', 'tolerant 1', 'understand 1']}"
903,"I stopped and looked back at him, surprised.",He met my eyes coolly.,"{'stopped': ['brake 1', 'cease 1', 'desist 1', 'freeze 1', 'halt 4', 'pause 2'], 'looked': ['gawk 1', 'gaze 2', 'glance 4', 'peer 2', 'squint 1', 'stare 2', 'turn 1', 'view 1'], 'back': ['aft 1', 'again 1', 'around 1', 'astern 1', 'backward 1', 'backwards 1', 'behind 2', 'over 2', 'right 1'], 'surprised': ['amazed 2', 'astonish 1', 'dismayed 1', 'rattle 1', 'shock 4', 'startle 1']}"
904,"""Heavy,"" I said, as if he might not have known.","""Heavy,""","{'said': ['breathe 1', 'explain 1', 'inform 1', 'mention 1', 'reply 1', 'state 2', 'strain 1', 'utter 1'], 'known': ['be aware 1', 'consider 1', 'figure 1', 'guess 1', 'notice 1', 'realize 3', 'realize it 1', 'suppose 1', 'think 1', 'understand 1']}"
905,"Nepthys tried to grab it, but, by reflex, I caught it first.","Immediately, I felt it grow warm and knew that I had done something very stupid.","{'tried': ['attempt 5', 'endeavor 1', 'go 1', 'intend 2', 'mean 1', 'seek 1', 'struggle 1', 'undertake 1'], 'grab': ['capture 1', 'catch 4', 'clasp 1', 'clutch 1', 'get 3', 'grasp 3', 'nab 1', 'pull 1', 'seize 2'], 'reflex': ['automatic response 1', 'guard 1', 'habit 1', 'impulse 1', 'instinct 3', 'involuntary act 1', 'natural response 1', 'reaction 1', 'reflexive action 1', 'responsiveness 1'], 'caught': ['access 1', 'achieve 1', 'annex 1', 'attain 1', 'capture 1', 'collect 1', 'get 4', 'grab 2', 'grasp 1', 'grip 1', 'seize 1'], 'first': ['ahead 1', 'before all else 1', 'before him 2', 'beforehand 1', 'in the first place 1', 'initially 2', 'myself 1', 'originally 2', 'preceding 1', 'prior 1']}"
906,He turned onto the next street and shifted up.,“I will help you find your Rachel.,"{'turned': ['angle 1', 'change 1', 'cross 1', 'drive 1', 'go 1', 'manipulate 1', 'motor 1', 'move 1', 'roll 1'], 'next': ['approach 1', 'come 2', 'follow 4', 'near 1', 'neighboring 1', 'subsequent 1'], 'street': ['avenue 1', 'block 1', 'highway 1', 'lane 1', 'road 5', 'roadway 1', 'sidewalk 1'], 'shifted': ['gear 1', 'move 2', 'rev 1', 'walk 1']}"
907,Especially when someone thinks me shockingly ignorant.,"""You know, the sculptor.","{'Especially': ['assuredly 1', 'certainly 1', 'expressly 1', 'in particular 2', 'mostly 1', 'particularly 4', 'primarily 2', 'specifically 3'], 'someone': ['a person 3', 'an individual 1', 'any person 1', 'anybody 1', 'anyone 1', 'one 2', 'people 1', 'person 1', 'somebody 2'], 'thinks': ['ascribe 1', 'believe 3', 'consider 3', 'deem 1', 'feel 1', 'find 2', 'imagine 1', 'judge 1', 'perceive 2', 'presume 1'], 'shockingly': ['amazingly 4', 'appallingly 1', 'dauntingly 1', 'greatly 1', 'horribly 1', 'impossibly 1', 'remarkably 1', 'ridiculously 1', 'so very 1', 'staggeringly 1', 'startlingly 2', 'stupefyingly 1', 'superbly 1', 'surprisingly 3', 'wildly 1'], 'ignorant': ['befuddle 1', 'dense 2', 'deprive 1', 'dumb 1', 'naive 2', 'obtuse 1', 'stupid 3', 'unable 1', 'unaware 1', 'uninformed 1', 'unknowing 2', 'unknowledgeable 1', 'unlearn 1', 'unschooled 1', 'witless 1']}"
908,Do you want me to pay Pasadena on Friday for these months or do you want me to hold off until I finish July and August?,"Again, I do not have all of the information for July and August, so I cannot give you any numbers.","{'want': ['advise 1', 'desire 2', 'like 1', 'need 3', 'prefer 1', 'recommend 1', 'tell 1', 'wish 4'], 'pay': ['address 1', 'compensate 5', 'cover 1', 'do 1', 'reimburse 1', 'reward 1'], 'months': ['date 1', 'period 1'], 'hold': ['put 2'], 'finish': ['be do with 1', 'complete 5', 'conclude 1', 'end 2', 'stop 1', 'terminate 1', 'wrap up 1']}"
909,"""No one,"" Tasha replied.","""No one,""","{'one': ['body 3', 'individual 2', 'nobody 1', 'people 1', 'person 5'], 'replied': ['announce 1', 'answer 2', 'say 5', 'speak 1', 'state 2', 'tell me 1']}"
910,“I still feel a little woozy.”,“I still feel a little woozy.”,"{'still': ['also 2', 'continually 1', 'continue to 1', 'correspondingly 1', 'currently 1', 'even 1', 'furthermore 1', 'likewise 1', 'moreover 1'], 'feel': ['act 1', 'appear 1', 'be 3', 'be feel 1', 'remain 1', 'seem 4'], 'little': ['bit 6', 'dab 1', 'tad 1', 'trace 1', 'trifle 1'], 'woozy': ['disorient 1', 'dizzy 5', 'faint 1', 'giddy 1', 'groggy 1', 'hazy 1', 'off kilter 1', 'unstable 1', 'weak 1', 'wobbly 2']}"
911,Let’s hurry.”,Let’s hurry.”,"{'Let': ['come 1', 'come on 1', 'we must 1'], 'hurry': ['fast 1', 'git 1', 'go 1', 'go fast 1', 'hasten 2', 'make haste 2', 'motor 1', 'run 1', 'speed 1']}"
912,"“Okay, you might feel silly, but just turn three times to your left.","“Okay, you might feel silly, but just turn three times to your left.","{'feel': ['act 1', 'appear 2', 'be 1', 'look 1', 'seem 4'], 'silly': ['absurd 1', 'dumb 1', 'foolish 3', 'funny 2', 'idiotic 1', 'ignorant 1', 'ridiculous 1', 'stupid 3', 'weird 1'], 'just': ['completely 1', 'definitely 1', 'merely 1', 'now 1', 'only 2', 'simply 4'], 'turn': ['circle 1', 'move 1', 'pivot 1', 'revolve 1', 'rotate 2', 'shift 1', 'spin 2', 'whirl 1'], 'times': ['instance 1', 'move 1', 'turn 2'], 'left': ['side 1', 'west 1']}"
913,Sunlight filled Malaquez's bedroom.,Tasha lay sprawled nude on a rumpled bed.,"{'filled': ['brighten 1', 'cram 1', 'engorge 1', 'engulf 1', 'flood 1', 'light 1', 'overload 1', 'pack 1', 'permeate 1', 'sate 1', 'saturate 1', 'shine in 1'], 'bedroom': ['bed 1', 'chamber 1', 'dorm 1', 'lodging 1', 'quarter 1', 'room 4']}"
914,I raised the stake; he drew back the dagger for a slash that could doubtless open my neck from throat to spine.,"The stake went down, there was a blur, and then my hands were empty and I felt pain under my jaw.","{'raised': ['elevate 2', 'heighten 1', 'higher 1', 'hoist 1', 'hold up 1', 'increase 1', 'leveraged 1', 'lift 2', 'ready 1', 'rise up 1'], 'stake': ['nail 2', 'peg 1', 'post 1', 'spike 5'], 'drew': ['grab 1', 'move 1', 'pull 4', 'raise 1', 'sweep 1', 'take 1', 'throw 1', 'withdraw 1'], 'dagger': ['blade 2', 'knife 4', 'scimitar 1', 'shiv 1', 'sword 2', 'weapon 1'], 'slash': ['cut 5', 'gash 1', 'incision 1', 'rend 1', 'slice 3', 'stab 1', 'swing 1'], 'doubtless': ['assuredly 1', 'certainly 1', 'clearly 1', 'definitely 2', 'likely 1', 'probably 1', 'really 1', 'surely 1', 'undoubtedly 2', 'without doubt 1'], 'open': ['cut 1', 'expand 1', 'gape 1', 'part 2', 'rend 1', 'reveal 1', 'rip apart 1', 'separate 1', 'sever 1', 'slice 1', 'split 2', 'sunder 1'], 'neck': ['body 1', 'nape 1', 'neck bone 1', 'throat 4'], 'throat': ['esophagus 1', 'gullet 1', 'jaw 1', 'larynx 1', 'mouth 1', 'nape 1', 'neck 3'], 'spine': ['back 5', 'backbone 2', 'spinal column 1', 'vertebra 1']}"
915,"A couple of them remembered seeing her leave, but none of them had seen the thin man with her.","I didn’t know how they could miss such exotic features, even in that distorting light.","{'couple': ['bunch 1', 'few 6', 'group 2'], 'remembered': ['mention 1', 'notice 2', 'recall 6', 'retell 1'], 'seeing': ['catch 1', 'notice 4', 'view 2', 'watch 2'], 'leave': ['depart 2', 'exit 3', 'go 4', 'going 1', 'part 1'], 'none': ['naught 1', 'neither 1', 'no one 1', 'not one 1', 'zero 1'], 'seen': ['catch 1', 'notice 4', 'observe 1', 'remember 1', 'saw 1', 'spot 1', 'view 1', 'watch 1', 'witness 1'], 'thin': ['little 1', 'skinny 5', 'slender 3', 'slim 1', 'small 1', 'startling 1', 'striking 1'], 'man': ['boy 1', 'dude 1', 'escort 1', 'fellow 2', 'guy 3', 'individual 1', 'male 1', 'person 1']}"
916,Inside was a dark room that looked like a storage space for DJ equipment.,"Nepthys urged me on from the back of the room, then made a turn out of sight.","{'dark': ['black 3', 'dim 2', 'dusky 1', 'lightless 1', 'shaded 1', 'shadow 1', 'tint 1', 'unlighted 1'], 'room': ['area 2', 'chamber 2', 'changer 1', 'closet 1', 'place 1', 'quarter 1', 'space 2'], 'looked': ['appear 3', 'resemble 1', 'seem 5'], 'storage': ['cache 1', 'cargo 1', 'closet 2', 'holding 1', 'keep 1', 'room 1', 'stockpile 1', 'store 1', 'stow 1', 'supply 1'], 'space': ['area 5', 'capacity 1', 'compartment 1', 'location 1', 'place 1', 'room 1', 'spot 1'], 'equipment': ['apparatus 1', 'electronics 1', 'gear 1', 'machine 1', 'machinery 1', 'stuff 2', 'supply 1', 'tool 2']}"
917,"We should get going, though.","We should get going, though.","{'get': ['be 1', 'begin 1', 'keep 2', 'start 2'], 'going': ['leave 1', 'move 5', 'proceeding 1'], 'though': ['anyway 2', 'either way 1', 'however 2', 'nevertheless 1', 'nonetheless 1', 'now 1', 'still 1']}"
918,I shut up and tried to breathe.,"Nepthys turned back to the little man on the bed, who had not moved.","{'shut': ['bottle 1', 'choke 1', 'close 2', 'dry 1', 'dummy 1', 'quiet 2'], 'up': ['close 1', 'down 1', 'quiet 1'], 'tried': ['attempt 6', 'endeavor 1', 'strain 1', 'stress 1', 'struggle 1'], 'breathe': ['exhale 1', 'gasp 1', 'grasp 1', 'inhale 4']}"
919,I know your family because an ancestor of mine made a bargain with an ancestor of yours.,I know your family because an ancestor of mine made a bargain with an ancestor of yours.,"{'know': ['acknowledge 1', 'be acquaint with 2', 'comprehend 1', 'meet 1', 'perceive 1', 'recall 1', 'recognize 1'], 'family': ['brood 1', 'bunch 1', 'clan 1', 'heir 1', 'kin 1', 'line 1', 'lineage 1', 'people 2', 'relative 3'], 'ancestor': ['antecedent 1', 'ascendant 2', 'forefather 1', 'foregoer 1', 'kindred 1', 'lineage 1', 'olden 1', 'relative 3'], 'mine': ['me 1', 'myself 1', 'ours 1', 'thou 1', 'yours truly 1'], 'made': ['be a part of 1', 'create 1', 'do 1', 'fashion 1', 'forge 1', 'form 1', 'have 4', 'seal 1'], 'bargain': ['agreement 1', 'bond 1', 'contract 1', 'covenant 1', 'deal 5', 'pact 2'], 'yours': ['another 1', 'you 1', 'yourself 1']}"
920,Tasha's witchery lay in making old acts new.,Is that love?,"{'witchery': ['ability 1', 'acclaim 1', 'arcanum 1', 'asset 1', 'evil 1', 'expertise 1', 'magic 4', 'power 1', 'skill 1', 'sorcery 2', 'spell 1', 'talent 2', 'witchcraft 1'], 'lay': ['be 6', 'dwell 1', 'lodge 1', 'lye 1', 'reside 1'], 'making': ['adapt 1', 'alter 1', 'change 1', 'construct 1', 'craft 2', 'create 2', 'manufacture 1', 'produce 1', 'recreate 1', 'reinvigorate 1', 'render 1', 'transform 2', 'turn 1'], 'old': ['age 3', 'age old 1', 'ancient 5', 'antiquated 1', 'archaic 1', 'exhaust 1', 'hoary 1', 'old 1', 'retro 1', 'vintage 1'], 'acts': ['achievement 1', 'action 2', 'deed 2', 'exploit 1', 'feat 2', 'move 1', 'thing 2', 'undertaking 1', 'work 1'], 'new': ['alive 1', 'current 1', 'fashionable 1', 'fresh 4', 'innovative 1', 'modern 1', 'novel 1', 'original 1', 'reborn 1', 'refresh 1', 'topical 1', 'unfamiliar 1', 'unique 1']}"
921,"If this cat’s for real, I bet my friend can tell you everything you need to know.”","If this cat’s for real, I bet my friend can tell you everything you need to know.”","{'cat': ['character 1', 'fellow 1', 'guy 3', 'individual 1', 'man 2', 'mortal 1', 'one 1', 'pal 1', 'person 1'], 'real': ['certain 1', 'genuine 1', 'serious 1', 'sure 2', 'true 1'], 'bet': ['believe 1', 'dare say 1', 'guarantee 1', 'know 1', 'presume 1', 'speculate 1', 'think 3', 'venture 1', 'wager 1', 'would imagine 1', 'would say 1'], 'friend': ['associate 3', 'buddy 3', 'chum 1', 'companion 1', 'comrade 1', 'pal 2'], 'tell': ['explain 1', 'explain to 1', 'give 1', 'inform 3', 'say to 1'], 'everything': ['all 6', 'anything 1', 'thing 1', 'what 1', 'whatever 1'], 'need': ['crave 1', 'desire 1', 'have 3', 'long 1', 'ought 2', 'want 2'], 'know': ['be aware of 1', 'see 1', 'understand 3']}"
922,But I have learned something: writing trivializes.,The Tasha who was is not the Tasha in this file.,"{'learned': ['comprehend 1', 'determine 1', 'discover 2', 'gleam 1', 'glean 1', 'understand 2'], 'something': ['a bit 1', 'a thing 1', 'background 1', 'knowledge 1', 'one thing 1', 'somewhat 1', 'this 3'], 'writing': ['documentation 1', 'journal 1', 'journalism 1', 'penmanship 1', 'recording 2', 'scribe 1', 'the written word 1'], 'trivializes': ['cheapen 1', 'lessen 1', 'lighten 1', 'minimalize 1', 'minimize 2', 'patronize 1', 'randomize 1']}"
923,"It was still a mess, but everything bigger than a soda can had disappeared.",I walked across what had been the dance floor.,"{'still': ['certainly 1', 'clearly 1', 'currently 2', 'definitely 1', 'obviously 1', 'plainly 1', 'remain 1', 'yet 2'], 'mess': ['disaster 3', 'dump 1', 'issue 1', 'problem 1', 'shambles 1', 'trashy place 1', 'war zone 1', 'waste 1', 'wreck 2'], 'everything': ['all 2', 'anything 2', 'garbage 1', 'item 1', 'piece 1', 'rubble 1', 'stuff 1', 'thing 1'], 'bigger': ['great 1', 'heavy 1', 'hefty 1', 'huge 1', 'large 6'], 'soda': ['Pepsi 1', 'beer 1', 'coke 1', 'drink 3', 'pop 5'], 'disappeared': ['flee 1', 'go 3', 'leave 1', 'part 1', 'vanish 5']}"
924,“Only if you stop beginning every sentence with my name.”,“Only if you stop beginning every sentence with my name.”,"{'Only': ['just 4', 'maybe 1', 'merely 1', 'solely 1'], 'stop': ['cease 2', 'decline 1', 'discontinue 2', 'halt 2', 'quit 3', 'refrain from 1'], 'beginning': ['launch 1', 'open 1', 'start 6'], 'sentence': ['phrase 3', 'response 1', 'statement 2', 'thought 1', 'utterance 1'], 'name': ['appellation 1', 'first name 1', 'title 1']}"
925,"Walking out of the church, a little gust of cold air caught me by surprise.",A cold front must have hit while I was inside.,"{'Walking': ['advance 1', 'come 1', 'exit 1', 'go 2', 'journey 1', 'shuffle 1', 'step 1', 'stride 1', 'stroll 1', 'trek 1'], 'church': ['building 1', 'cathedral 1', 'chapel 2', 'institution 1', 'sanctuary 3', 'shrine 1', 'tabernacle 1', 'temple 1'], 'little': ['brief 3', 'delicate 1', 'light 1', 'quick 1', 'short 1', 'slight 1', 'small 5', 'tiny 2'], 'gust': ['breeze 2', 'burst 3', 'draft 1', 'flow 1', 'rush 1', 'shock 1', 'wave 1', 'wind 1'], 'cold': ['chill 1', 'chilly 4', 'cool 1', 'freezing 2', 'frigid 1', 'frosty 2'], 'air': ['atmosphere 1', 'breeze 4', 'wind 3'], 'caught': ['get 2', 'grab 1', 'hit 2', 'overtake 1', 'strike 1', 'take 3'], 'surprise': ['alarm 1', 'force 1', 'off guard 1', 'shock 1', 'unexpectedly 1']}"
926,"If I did, one of three things would happen.",Most likely: she would be meat --there is a reason why stopboxes are most often used in kitchens.,"{'things': ['case 1', 'conclusion 1', 'event 2', 'instance 1', 'matter 1', 'option 1', 'outcome 1', 'possibility 3', 'scenario 2'], 'happen': ['come about 1', 'emerge 1', 'occur 5', 'play out 1', 'present 1', 'result 1', 'take place 1', 'transpire 1']}"
927,I thought I heard Rachel’s voice blearily calling for me.,Then one set of footsteps began walking toward the altar.,"{'thought': ['assume 2', 'believe 3', 'guess 1', 'imagine 1', 'notice 1', 'perceive 1', 'presume 1', 'reckon 1', 'suppose 1'], 'heard': ['audibly detect 1', 'detect 2', 'feel 1', 'listen to 1', 'make out 1', 'notice 1', 'observe 1', 'perceive 3', 'recall 1', 'sense 2'], 'voice': ['cry 1', 'plead 1', 'sound 1', 'speech 1', 'tone 1', 'tune 1', 'utterance 1', 'vocalization 1', 'whisper 1', 'word 1'], 'blearily': ['dimly 2', 'faintly 1', 'fog like 1', 'foggily 1', 'lowly 1', 'obscurely 1', 'roughly 1', 'unclearly 1', 'vaguely 1'], 'calling': ['ask 2', 'beg 1', 'beseech 1', 'cry 1', 'plead 1', 'shout 1', 'summon 1', 'yell 2']}"
928,"If science finds a way to safely free the subjects of Emil's art, perhaps the I who reads this file will know that my decision is wise.",But I cannot stop thinking that I was never afraid of losing Tasha to brain damage or death.,"{'science': ['engineering 1', 'medicine 1', 'nature 1', 'research 4', 'scientific study 1', 'scientist 1', 'technology 1'], 'finds': ['acquire 1', 'deliver 1', 'discover 6', 'gain 1', 'learn 1', 'obtain 1', 'present 1', 'procure 1', 'reveal 2', 'uncover 1'], 'way': ['avenue 1', 'means 3', 'method 4', 'plan 1', 'practice 1', 'procedure 2', 'process 1', 'solution 1', 'technique 1'], 'safely': ['adequately 1', 'carefully 1', 'completely 1', 'correctly 1', 'harmlessly 4', 'reliably 1', 'securely 2', 'without danger 1', 'without risk 1'], 'free': ['deliver 1', 'extricate 1', 'give freedom to 1', 'liberate 4', 'loose 1', 'release 5', 'relieve 1', 'reprieve 1', 'rescue 1', 'revive 1', 'save 1', 'unburden 1', 'vindicate 1'], 'subjects': ['body 1', 'captive 1', 'enslave 1', 'model 1', 'object 2', 'participant 1', 'prisoner 1', 'source 1', 'subject matter 2', 'substance 1', 'vassal 1', 'victim 1'], 'art': ['artistry 1', 'artwork 1', 'craft 1', 'creation 4', 'creativity 1', 'masterpiece 1', 'mastery 1', 'piece 1', 'portrayal 1', 'sculpture 1', 'work 4'], 'perhaps': ['even 1', 'feasibly 1', 'may be 1', 'maybe 5', 'mayhaps 1', 'no doubt 1', 'perchance 1', 'possibly 2', 'so 1'], 'reads': ['browse 2', 'discover 1', 'eye 1', 'ingest 1', 'look at 1', 'peruse 1', 'ponder 1', 'scan 2', 'see 4', 'study 2', 'unravel 1', 'view 1'], 'file': ['account 1', 'book 1', 'case 1', 'collection 2', 'document 2', 'dossier 1', 'folder 1', 'note 1', 'record 3', 'report 2', 'statement 1', 'writing 1'], 'know': ['believe 1', 'comprehend 2', 'discern 1', 'gather 1', 'get 1', 'grant 1', 'realize 2', 'recognize 1', 'see 2', 'understand 6'], 'decision': ['action 1', 'behavior 1', 'choice 4', 'compromise 1', 'conclusion 3', 'determination 1', 'finding 1', 'judgement 1', 'judgment 1', 'selection 1', 'verdict 1'], 'wise': ['appropriate 1', 'astute 1', 'clever 1', 'correct 1', 'great 1', 'intelligent 1', 'just 1', 'justify 1', 'keen 1', 'prudent 1', 'reasonable 1', 'right 1', 'sage 1', 'satisfactory 1', 'smart 4', 'sound 1']}"
